CLAVE_MUN,MUNICIPIO,CASOS_P,LATITUD,LONGITUD
1,Apozol,0,21.47028,-103.09083
2,Apulco,0,21.96667,-102.88333
3,Atolinga,0,21.80882,-103.46520
5,Calera,0,22.95015,-102.71001
6,Cañitas de Felipe Pescador,0,23.55297,-102.86588
9,Chalchihuites,0,23.47583,-103.88099
7,Concepción del Oro,0,24.52795,-101.33654
8,Cuauhtémoc,0,22.448615,-102.365560
15,El Plateado de Joaquín Amaro,0,22.09457,-103.03179
41,El Salvador,0,24.52098,-100.86750
4,Florencia de Benito Juárez,0,23.863488,-103.389905
10,Fresnillo,1,23.36498,-103.07256
12,Genaro Codina,0,22.49017,-102.45536
13,General Enrique Estrada,0,22.99712,-102.74155
14,General Francisco R. Murguía,0,24.26892,-103.03855
16,General Pánfilo Natera,0,22.63333,-101.96667
17,Guadalupe,6,22.756225,-102.512122
18,Huanusco,0,21.77457,-102.9731
19,Jalpa,0,21.71285,-103.00964
20,Jerez,21,22.79230,-103.16917
21,Jiménez del Teul,0,23.24563,-103.76398
22,Juan Aldama,0,24.18105,-103.25185
23,Juchipila,0,21.93059,-102.89990
24,Loreto,0,22.271606,-101.989704
25,Luis Moya,0,22.50309,-102.28044
26,Mazapil,0,24.81552,-102.27638
27,Melchor Ocampo,0,23.144735,-103.155835
28,Mezquital del Oro,0,21.21465,-103.36154
29,Miguel Auza,0,24.23763,-103.55577
30,Momax,0,23.66667,-101.95000
31,Monte Escobedo,0,22.62475,-103.41403
32,Morelos,0,22.862074,-102.613875
33,Moyahua de Estrada,0,21.19200,-103.17442
34,Nochistlán de Mejía,0,21.36504,-102.84698
35,Noria de Ángeles,0,22.38143,-102.05605
36,Ojocaliente,0,22.43298,-102.15542
37,Panuco,0,22.876242,-102.541324
38,Pinos,0,22.29728,-101.57472
39,Río Grande,0,23.85552,-103.12491
40,Sain Alto,0,23.63066,-103.20256
58,Santa María de la Paz,0,21.50631,-103.37306
42,Sombrerete,1,23.63572,-103.58248
43,Susticacán,0,22.61348,-103.12518
44,Tabasco,0,21.86052,-102.91437
45,Tepechitlán,0,22.40000,-103.20000
46,Tepetongo,3,22.46226,-103.14660
47,Teul de González Ortega,0,21.41132,-103.28707
48,Tlaltenango de Sánchez Román,0,21.78019,-103.30232
57,Trancoso,0,22.81725,-102.22625
11,Trinidad García de la Cadena,0,21.86667,-102.91667
49,Valparaíso,0,22.82121,-103.36187
50,Vetagrande,0,22.83402,-102.55588
51,Villa de Cos,0,23.78415,-102.16255
52,Villa García,0,22.10663,-101.92230
53,Villa González Ortega,0,22.56775,-102.00278
54,Villa Hidalgo,0,22.511387,-101.914706
55,Villanueva,1,22.13333,-103.01667
56,Zacatecas,6,22.77093,-102.58325
